player_name,Over Assists - Price,Over Assists - Point,Under Assists - Price,Under Assists - Point,Over Blocks - Price,Over Blocks - Point,Under Blocks - Price,Under Blocks - Point,Over Points - Price,Over Points - Point,Under Points - Price,Under Points - Point,Over Rebounds - Price,Over Rebounds - Point,Under Rebounds - Price,Under Rebounds - Point,Over Steals - Price,Over Steals - Point,Under Steals - Price,Under Steals - Point,Over Threes - Price,Over Threes - Point,Under Threes - Price,Under Threes - Point
Jalen Duren,-110.0,2.5,-120.0,2.5,100.0,1.5,-132.0,1.5,-110.0,11.5,-120.0,11.5,105.0,12.5,-135.0,12.5,,,,,,,,
Jalen Green,114.0,3.5,-145.0,3.5,240.0,0.5,-375.0,0.5,-105.0,17.5,-125.0,17.5,-140.0,4.5,110.0,4.5,,,,,-180.0,1.5,140.0,1.5
Jamal Murray,-125.0,5.5,-105.0,5.5,220.0,0.5,-325.0,0.5,-105.0,21.5,-125.0,21.5,105.0,4.5,-135.0,4.5,140.0,1.5,-180.0,1.5,135.0,2.5,-175.0,2.5
James Harden,-115.0,9.5,-115.0,9.5,-150.0,0.5,110.0,0.5,-120.0,20.5,-110.0,20.5,100.0,5.5,-130.0,5.5,120.0,1.5,-154.0,1.5,-110.0,2.5,-120.0,2.5
Jarred Vanderbilt,105.0,0.5,-140.0,0.5,,,,,130.0,2.5,-175.0,2.5,-155.0,3.5,115.0,3.5,,,,,,,,
Jaylen Brown,116.0,3.5,-154.0,3.5,210.0,0.5,-325.0,0.5,-114.0,19.5,-114.0,19.5,112.0,6.5,-148.0,6.5,-230.0,0.5,175.0,0.5,132.0,1.5,-178.0,1.5
Jayson Tatum,102.0,5.5,-136.0,5.5,110.0,0.5,-140.0,0.5,-125.0,26.5,-106.0,26.5,-114.0,9.5,-114.0,9.5,-195.0,0.5,150.0,0.5,-178.0,2.5,132.0,2.5
Jimmy Butler,105.0,5.5,-135.0,5.5,170.0,0.5,-235.0,0.5,-125.0,18.5,-105.0,18.5,-110.0,5.5,-120.0,5.5,,,,,-166.0,0.5,130.0,0.5
Jonathan Isaac,,,,,,,,,-110.0,2.5,-120.0,2.5,115.0,3.5,-155.0,3.5,,,,,250.0,0.5,-350.0,0.5
Josh Hart,-135.0,5.5,105.0,5.5,130.0,0.5,-185.0,0.5,-110.0,11.5,-120.0,11.5,-130.0,9.5,100.0,9.5,-122.0,1.5,-108.0,1.5,-215.0,0.5,165.0,0.5
Julius Randle,-125.0,4.5,-105.0,4.5,210.0,0.5,-300.0,0.5,-110.0,20.5,-120.0,20.5,-145.0,6.5,114.0,6.5,,,,,-135.0,1.5,105.0,1.5
Karl-Anthony Towns,-120.0,2.5,-110.0,2.5,-235.0,0.5,170.0,0.5,-110.0,24.5,-120.0,24.5,-130.0,10.5,100.0,10.5,,,,,-130.0,1.5,100.0,1.5
Kawhi Leonard,-166.0,3.5,130.0,3.5,115.0,0.5,-160.0,0.5,-115.0,25.5,-115.0,25.5,-115.0,6.5,-115.0,6.5,-145.0,1.5,114.0,1.5,135.0,2.5,-175.0,2.5
Kentavious Caldwell-Pope,-118.0,1.5,-115.0,1.5,160.0,0.5,-225.0,0.5,-110.0,6.5,-120.0,6.5,-114.0,2.5,-114.0,2.5,,,,,148.0,1.5,-200.0,1.5
Kevin Porter Jr.,108.0,6.5,-144.0,6.5,290.0,0.5,-450.0,0.5,104.0,15.5,-138.0,15.5,-138.0,4.5,104.0,4.5,162.0,1.5,-220.0,1.5,110.0,1.5,-146.0,1.5
Kris Dunn,105.0,1.5,-135.0,1.5,125.0,0.5,-175.0,0.5,-125.0,5.5,-105.0,5.5,135.0,3.5,-175.0,3.5,165.0,1.5,-215.0,1.5,140.0,1.5,-180.0,1.5
Kristaps Porzingis,-114.0,1.5,-114.0,1.5,135.0,1.5,-175.0,1.5,-130.0,16.5,-102.0,16.5,-132.0,6.5,100.0,6.5,,,,,-102.0,1.5,-130.0,1.5
Kyle Kuzma,-135.0,1.5,105.0,1.5,250.0,0.5,-375.0,0.5,-102.0,9.5,-130.0,9.5,134.0,3.5,-180.0,3.5,,,,,-230.0,0.5,175.0,0.5
LeBron James,-135.0,6.5,105.0,6.5,135.0,1.5,-190.0,1.5,-105.0,26.5,-125.0,26.5,-120.0,9.5,-110.0,9.5,,,,,-180.0,1.5,140.0,1.5
Luka Doncic,-130.0,6.5,100.0,6.5,-120.0,0.5,-115.0,0.5,-120.0,31.5,-110.0,31.5,100.0,9.5,-130.0,9.5,,,,,-115.0,3.5,-115.0,3.5
Malik Beasley,140.0,1.5,-180.0,1.5,,,,,-110.0,13.5,-120.0,13.5,114.0,2.5,-145.0,2.5,,,,,105.0,3.5,-135.0,3.5
Michael Porter Jr,-130.0,1.5,100.0,1.5,130.0,0.5,-190.0,0.5,-125.0,12.5,-105.0,12.5,-130.0,6.5,100.0,6.5,,,,,-140.0,1.5,110.0,1.5
Mikal Bridges,-160.0,2.5,124.0,2.5,-175.0,0.5,125.0,0.5,-125.0,15.5,-105.0,15.5,-140.0,3.5,110.0,3.5,138.0,1.5,-186.0,1.5,-120.0,1.5,-110.0,1.5
